prev_position = 50, move = -40, position = 10, zero_count = 0
prev_position = 0, move = 64, position = 64, zero_count = 1473
prev_position = 64, move = -64, position = 0, zero_count = 1474
prev_position = 0, move = 78, position = 78, zero_count = 1474
prev_position = 78, move = -215, position = -37, zero_count = 1476
prev_position = -37, move = 54, position = 17, zero_count = 1477
prev_position = 17, move = -2, position = 15, zero_count = 1477
prev_position = 15, move = -50, position = -35, zero_count = 1478
prev_position = -35, move = -91, position = -26, zero_count = 1479
prev_position = -26, move = -174, position = 0, zero_count = 1481
prev_position = 0, move = 50, position = 50, zero_count = 1481
prev_position = 50, move = 14, position = 64, zero_count = 1481
prev_position = 64, move = -62, position = 2, zero_count = 1481
prev_position = 2, move = -2, position = 0, zero_count = 1482
prev_position = 0, move = -756, position = -56, zero_count = 1489
prev_position = -56, move = 47, position = -9, zero_count = 1489
prev_position = -9, move = 80, position = 71, zero_count = 1490
prev_position = 71, move = -90, position = -19, zero_count = 1491
prev_position = -19, move = 90, position = 71, zero_count = 1492
prev_position = 71, move = -471, position = 0, zero_count = 1496
prev_position = 0, move = -81, position = -81, zero_count = 1496
prev_position = -81, move = 76, position = -5, zero_count = 1496
prev_position = -5, move = -46, position = -51, zero_count = 1496
prev_position = -51, move = -16, position = -67, zero_count = 1496
prev_position = -67, move = -45, position = -12, zero_count = 1497
prev_position = -12, move = 12, position = 0, zero_count = 1498
prev_position = 0, move = -21, position = -21, zero_count = 1498
prev_position = -21, move = -562, position = -83, zero_count = 1503
prev_position = -83, move = 991, position = 8, zero_count = 1513
prev_position = 8, move = -15, position = -7, zero_count = 1514
prev_position = -7, move = 51, position = 44, zero_count = 1515
prev_position = 44, move = 56, position = 0, zero_count = 1516
prev_position = 0, move = 55, position = 55, zero_count = 1516
prev_position = 55, move = 45, position = 0, zero_count = 1517
prev_position = 0, move = -17, position = -17, zero_count = 1517
prev_position = -17, move = -47, position = -64, zero_count = 1517
prev_position = -64, move = 49, position = -15, zero_count = 1517
prev_position = -15, move = -51, position = -66, zero_count = 1517
prev_position = -66, move = -15, position = -81, zero_count = 1517
prev_position = -81, move = -99, position = -80, zero_count = 1518
prev_position = -80, move = 43, position = -37, zero_count = 1518
prev_position = -37, move = 73, position = 36, zero_count = 1519
prev_position = 36, move = -27, position = 9, zero_count = 1519
prev_position = 9, move = 33, position = 42, zero_count = 1519
prev_position = 42, move = 98, position = 40, zero_count = 1520
prev_position = 40, move = 66, position = 6, zero_count = 1521
prev_position = 6, move = -6, position = 0, zero_count = 1522
prev_position = 0, move = -37, position = -37, zero_count = 1522
prev_position = -37, move = -7, position = -44, zero_count = 1522
prev_position = -44, move = 888, position = 44, zero_count = 1531
prev_position = 44, move = 37, position = 81, zero_count = 1531
prev_position = 81, move = 540, position = 21, zero_count = 1537
prev_position = 21, move = -34, position = -13, zero_count = 1538
prev_position = -13, move = 51, position = 38, zero_count = 1539
prev_position = 38, move = -38, position = 0, zero_count = 1540
prev_position = 0, move = 25, position = 25, zero_count = 1540
prev_position = 25, move = -91, position = -66, zero_count = 1541
prev_position = -66, move = -34, position = 0, zero_count = 1542
prev_position = 0, move = -910, position = -10, zero_count = 1551
prev_position = -10, move = -91, position = -1, zero_count = 1552
prev_position = -1, move = -96, position = -97, zero_count = 1552
prev_position = -97, move = 56, position = -41, zero_count = 1552
prev_position = -41, move = -711, position = -52, zero_count = 1559
prev_position = -52, move = -48, position = 0, zero_count = 1560
prev_position = 0, move = -32, position = -32, zero_count = 1560
prev_position = -32, move = 25, position = -7, zero_count = 1560
prev_position = -7, move = -76, position = -83, zero_count = 1560
prev_position = -83, move = 29, position = -54, zero_count = 1560
prev_position = -54, move = 19, position = -35, zero_count = 1560
prev_position = -35, move = -917, position = -52, zero_count = 1569
prev_position = -52, move = 353, position = 1, zero_count = 1573
prev_position = 1, move = -186, position = -85, zero_count = 1575
prev_position = -85, move = 31, position = -54, zero_count = 1575
prev_position = -54, move = -27, position = -81, zero_count = 1575
prev_position = -81, move = -99, position = -80, zero_count = 1576
prev_position = -80, move = 36, position = -44, zero_count = 1576
prev_position = -44, move = -56, position = 0, zero_count = 1577
prev_position = 0, move = -481, position = -81, zero_count = 1581
prev_position = -81, move = 658, position = 77, zero_count = 1587
prev_position = 77, move = -63, position = 14, zero_count = 1587
prev_position = 14, move = -14, position = 0, zero_count = 1588
prev_position = 0, move = -53, position = -53, zero_count = 1588
prev_position = -53, move = -62, position = -15, zero_count = 1589
prev_position = -15, move = 92, position = 77, zero_count = 1590
prev_position = 77, move = -503, position = -26, zero_count = 1595
prev_position = -26, move = 20, position = -6, zero_count = 1595
prev_position = -6, move = -994, position = 0, zero_count = 1605
prev_position = 0, move = 206, position = 6, zero_count = 1607
prev_position = 6, move = -37, position = -31, zero_count = 1608
prev_position = -31, move = 32, position = 1, zero_count = 1609
prev_position = 1, move = -27, position = -26, zero_count = 1610
prev_position = -26, move = -874, position = 0, zero_count = 1619
prev_position = 0, move = 48, position = 48, zero_count = 1619
prev_position = 48, move = -51, position = -3, zero_count = 1620
prev_position = -3, move = 22, position = 19, zero_count = 1621
prev_position = 19, move = 661, position = 80, zero_count = 1627
prev_position = 80, move = -22, position = 58, zero_count = 1627
prev_position = 58, move = 927, position = 85, zero_count = 1636
prev_position = 85, move = 15, position = 0, zero_count = 1637
prev_position = 0, move = -47, position = -47, zero_count = 1637
prev_position = -47, move = -72, position = -19, zero_count = 1638
prev_position = -19, move = -381, position = 0, zero_count = 1642
prev_position = 0, move = -70, position = -70, zero_count = 1642
prev_position = -70, move = -11, position = -81, zero_count = 1642
prev_position = -81, move = 98, position = 17, zero_count = 1643
prev_position = 17, move = -871, position = -54, zero_count = 1652
prev_position = -54, move = -79, position = -33, zero_count = 1653
prev_position = -33, move = -46, position = -79, zero_count = 1653
prev_position = -79, move = -93, position = -72, zero_count = 1654
prev_position = -72, move = 23, position = -49, zero_count = 1654
prev_position = -49, move = -755, position = -4, zero_count = 1662
prev_position = -4, move = -42, position = -46, zero_count = 1662
prev_position = -46, move = -54, position = 0, zero_count = 1663
prev_position = 0, move = -16, position = -16, zero_count = 1663
prev_position = -16, move = -65, position = -81, zero_count = 1663
prev_position = -81, move = 12, position = -69, zero_count = 1663
prev_position = -69, move = 94, position = 25, zero_count = 1664
prev_position = 25, move = -68, position = -43, zero_count = 1665
prev_position = -43, move = 543, position = 0, zero_count = 1670
prev_position = 0, move = -87, position = -87, zero_count = 1670
prev_position = -87, move = -76, position = -63, zero_count = 1671
prev_position = -63, move = -26, position = -89, zero_count = 1671
prev_position = -89, move = 72, position = -17, zero_count = 1671
prev_position = -17, move = 98, position = 81, zero_count = 1672
prev_position = 81, move = -122, position = -41, zero_count = 1673
prev_position = -41, move = -63, position = -4, zero_count = 1674
prev_position = -4, move = 46, position = 42, zero_count = 1675
prev_position = 42, move = 28, position = 70, zero_count = 1675
prev_position = 70, move = 20, position = 90, zero_count = 1675
prev_position = 90, move = 53, position = 43, zero_count = 1676
prev_position = 43, move = 46, position = 89, zero_count = 1676
prev_position = 89, move = -89, position = 0, zero_count = 1677
prev_position = 0, move = 487, position = 87, zero_count = 1681
prev_position = 87, move = -359, position = -72, zero_count = 1684
prev_position = -72, move = 72, position = 0, zero_count = 1685
prev_position = 0, move = -89, position = -89, zero_count = 1685
prev_position = -89, move = -11, position = 0, zero_count = 1686
prev_position = 0, move = 37, position = 37, zero_count = 1686
prev_position = 37, move = 263, position = 0, zero_count = 1689
prev_position = 0, move = -11, position = -11, zero_count = 1689
prev_position = -11, move = 58, position = 47, zero_count = 1690
prev_position = 47, move = 53, position = 0, zero_count = 1691
prev_position = 0, move = 45, position = 45, zero_count = 1691
prev_position = 45, move = -30, position = 15, zero_count = 1691
prev_position = 15, move = 7, position = 22, zero_count = 1691
prev_position = 22, move = 99, position = 21, zero_count = 1692
prev_position = 21, move = 79, position = 0, zero_count = 1693
prev_position = 0, move = 50, position = 50, zero_count = 1693
prev_position = 50, move = -44, position = 6, zero_count = 1693
prev_position = 6, move = -6, position = 0, zero_count = 1694
prev_position = 0, move = 10, position = 10, zero_count = 1694
prev_position = 10, move = 977, position = 87, zero_count = 1703
prev_position = 87, move = 78, position = 65, zero_count = 1704
prev_position = 65, move = 35, position = 0, zero_count = 1705
prev_position = 0, move = -57, position = -57, zero_count = 1705
prev_position = -57, move = 75, position = 18, zero_count = 1706
prev_position = 18, move = -918, position = 0, zero_count = 1715
prev_position = 0, move = 165, position = 65, zero_count = 1716
prev_position = 65, move = 35, position = 0, zero_count = 1717
prev_position = 0, move = 13, position = 13, zero_count = 1717
prev_position = 13, move = -717, position = -4, zero_count = 1725
prev_position = -4, move = 87, position = 83, zero_count = 1726
prev_position = 83, move = -98, position = -15, zero_count = 1727
prev_position = -15, move = -60, position = -75, zero_count = 1727
prev_position = -75, move = -25, position = 0, zero_count = 1728
prev_position = 0, move = 197, position = 97, zero_count = 1729
prev_position = 97, move = 12, position = 9, zero_count = 1730
prev_position = 9, move = 91, position = 0, zero_count = 1731
prev_position = 0, move = -36, position = -36, zero_count = 1731
prev_position = -36, move = -64, position = 0, zero_count = 1732
prev_position = 0, move = -64, position = -64, zero_count = 1732
prev_position = -64, move = -470, position = -34, zero_count = 1737
prev_position = -34, move = -866, position = 0, zero_count = 1746
prev_position = 0, move = -60, position = -60, zero_count = 1746
prev_position = -60, move = -12, position = -72, zero_count = 1746
prev_position = -72, move = 72, position = 0, zero_count = 1747
prev_position = 0, move = 65, position = 65, zero_count = 1747
prev_position = 65, move = 17, position = 82, zero_count = 1747
prev_position = 82, move = -82, position = 0, zero_count = 1748
prev_position = 0, move = -41, position = -41, zero_count = 1748
prev_position = -41, move = 45, position = 4, zero_count = 1749
prev_position = 4, move = -4, position = 0, zero_count = 1750
prev_position = 0, move = 70, position = 70, zero_count = 1750
prev_position = 70, move = 30, position = 0, zero_count = 1751
prev_position = 0, move = 239, position = 39, zero_count = 1753
prev_position = 39, move = -39, position = 0, zero_count = 1754
prev_position = 0, move = 89, position = 89, zero_count = 1754
prev_position = 89, move = -89, position = 0, zero_count = 1755
prev_position = 0, move = -41, position = -41, zero_count = 1755
prev_position = -41, move = 41, position = 0, zero_count = 1756
prev_position = 0, move = -249, position = -49, zero_count = 1758
prev_position = -49, move = -41, position = -90, zero_count = 1758
prev_position = -90, move = 51, position = -39, zero_count = 1758
prev_position = -39, move = -60, position = -99, zero_count = 1758
prev_position = -99, move = -47, position = -46, zero_count = 1759
prev_position = -46, move = 51, position = 5, zero_count = 1760
prev_position = 5, move = -13, position = -8, zero_count = 1761
prev_position = -8, move = 8, position = 0, zero_count = 1762
prev_position = 0, move = -20, position = -20, zero_count = 1762
prev_position = -20, move = -80, position = 0, zero_count = 1763
prev_position = 0, move = -245, position = -45, zero_count = 1765
prev_position = -45, move = 919, position = 74, zero_count = 1774
prev_position = 74, move = 929, position = 3, zero_count = 1784
prev_position = 3, move = 97, position = 0, zero_count = 1785
prev_position = 0, move = 517, position = 17, zero_count = 1790
prev_position = 17, move = -18, position = -1, zero_count = 1791
prev_position = -1, move = -899, position = 0, zero_count = 1800
prev_position = 0, move = 701, position = 1, zero_count = 1807
prev_position = 1, move = -737, position = -36, zero_count = 1815
prev_position = -36, move = 236, position = 0, zero_count = 1817
prev_position = 0, move = -89, position = -89, zero_count = 1817
prev_position = -89, move = -11, position = 0, zero_count = 1818
prev_position = 0, move = 18, position = 18, zero_count = 1818
prev_position = 18, move = -92, position = -74, zero_count = 1819
prev_position = -74, move = -31, position = -5, zero_count = 1820
prev_position = -5, move = -655, position = -60, zero_count = 1826
prev_position = -60, move = 33, position = -27, zero_count = 1826
prev_position = -27, move = 84, position = 57, zero_count = 1827
prev_position = 57, move = -55, position = 2, zero_count = 1827
prev_position = 2, move = 106, position = 8, zero_count = 1828
prev_position = 8, move = -8, position = 0, zero_count = 1829
prev_position = 0, move = 9, position = 9, zero_count = 1829
prev_position = 9, move = 91, position = 0, zero_count = 1830
prev_position = 0, move = 38, position = 38, zero_count = 1830
prev_position = 38, move = 8, position = 46, zero_count = 1830
prev_position = 46, move = -649, position = -3, zero_count = 1837
prev_position = -3, move = -55, position = -58, zero_count = 1837
prev_position = -58, move = -59, position = -17, zero_count = 1838
prev_position = -17, move = -98, position = -15, zero_count = 1839
prev_position = -15, move = -248, position = -63, zero_count = 1841
prev_position = -63, move = 702, position = 39, zero_count = 1848
prev_position = 39, move = -39, position = 0, zero_count = 1849
prev_position = 0, move = -60, position = -60, zero_count = 1849
prev_position = -60, move = 21, position = -39, zero_count = 1849
prev_position = -39, move = -90, position = -29, zero_count = 1850
prev_position = -29, move = -71, position = 0, zero_count = 1851
prev_position = 0, move = -73, position = -73, zero_count = 1851
prev_position = -73, move = 43, position = -30, zero_count = 1851
prev_position = -30, move = -49, position = -79, zero_count = 1851
prev_position = -79, move = -19, position = -98, zero_count = 1851
prev_position = -98, move = 80, position = -18, zero_count = 1851
prev_position = -18, move = 18, position = 0, zero_count = 1852
prev_position = 0, move = 43, position = 43, zero_count = 1852
prev_position = 43, move = -468, position = -25, zero_count = 1857
prev_position = -25, move = 89, position = 64, zero_count = 1858
prev_position = 64, move = -94, position = -30, zero_count = 1859
prev_position = -30, move = 730, position = 0, zero_count = 1866
prev_position = 0, move = 74, position = 74, zero_count = 1866
prev_position = 74, move = 54, position = 28, zero_count = 1867
prev_position = 28, move = 34, position = 62, zero_count = 1867
prev_position = 62, move = -62, position = 0, zero_count = 1868
prev_position = 0, move = -2, position = -2, zero_count = 1868
prev_position = -2, move = -12, position = -14, zero_count = 1868
prev_position = -14, move = -88, position = -2, zero_count = 1869
prev_position = -2, move = 2, position = 0, zero_count = 1870
prev_position = 0, move = -86, position = -86, zero_count = 1870
prev_position = -86, move = 986, position = 0, zero_count = 1879
prev_position = 0, move = -72, position = -72, zero_count = 1879
prev_position = -72, move = -86, position = -58, zero_count = 1880
prev_position = -58, move = -44, position = -2, zero_count = 1881
prev_position = -2, move = -1, position = -3, zero_count = 1881
prev_position = -3, move = 3, position = 0, zero_count = 1882
prev_position = 0, move = 534, position = 34, zero_count = 1887
prev_position = 34, move = 266, position = 0, zero_count = 1890
prev_position = 0, move = 74, position = 74, zero_count = 1890
prev_position = 74, move = -60, position = 14, zero_count = 1890
prev_position = 14, move = 13, position = 27, zero_count = 1890
prev_position = 27, move = -88, position = -61, zero_count = 1891
prev_position = -61, move = 520, position = 59, zero_count = 1896
prev_position = 59, move = 41, position = 0, zero_count = 1897
prev_position = 0, move = 65, position = 65, zero_count = 1897
prev_position = 65, move = 235, position = 0, zero_count = 1900
prev_position = 0, move = 232, position = 32, zero_count = 1902
prev_position = 32, move = -32, position = 0, zero_count = 1903
prev_position = 0, move = -74, position = -74, zero_count = 1903
prev_position = -74, move = 47, position = -27, zero_count = 1903
prev_position = -27, move = 431, position = 4, zero_count = 1908
prev_position = 4, move = -4, position = 0, zero_count = 1909
prev_position = 0, move = -92, position = -92, zero_count = 1909
prev_position = -92, move = -8, position = 0, zero_count = 1910
prev_position = 0, move = -833, position = -33, zero_count = 1918
prev_position = -33, move = -67, position = 0, zero_count = 1919
prev_position = 0, move = 49, position = 49, zero_count = 1919
prev_position = 49, move = 88, position = 37, zero_count = 1920
prev_position = 37, move = -46, position = -9, zero_count = 1921
prev_position = -9, move = 9, position = 0, zero_count = 1922
prev_position = 0, move = -67, position = -67, zero_count = 1922
prev_position = -67, move = 22, position = -45, zero_count = 1922
prev_position = -45, move = 53, position = 8, zero_count = 1923
prev_position = 8, move = -85, position = -77, zero_count = 1924
prev_position = -77, move = 77, position = 0, zero_count = 1925
prev_position = 0, move = -95, position = -95, zero_count = 1925
prev_position = -95, move = -496, position = -91, zero_count = 1930
prev_position = -91, move = 53, position = -38, zero_count = 1930
prev_position = -38, move = 471, position = 33, zero_count = 1935
prev_position = 33, move = -717, position = -84, zero_count = 1942
prev_position = -84, move = -16, position = 0, zero_count = 1943
prev_position = 0, move = 45, position = 45, zero_count = 1943
prev_position = 45, move = -45, position = 0, zero_count = 1944
prev_position = 0, move = -22, position = -22, zero_count = 1944
prev_position = -22, move = 10, position = -12, zero_count = 1944
prev_position = -12, move = -57, position = -69, zero_count = 1944
prev_position = -69, move = 69, position = 0, zero_count = 1945
prev_position = 0, move = 21, position = 21, zero_count = 1945
prev_position = 21, move = 79, position = 0, zero_count = 1946
prev_position = 0, move = 63, position = 63, zero_count = 1946
prev_position = 63, move = -29, position = 34, zero_count = 1946
prev_position = 34, move = -34, position = 0, zero_count = 1947
prev_position = 0, move = 50, position = 50, zero_count = 1947
prev_position = 50, move = 99, position = 49, zero_count = 1948
prev_position = 49, move = -549, position = 0, zero_count = 1953
prev_position = 0, move = 21, position = 21, zero_count = 1953
prev_position = 21, move = 836, position = 57, zero_count = 1961
prev_position = 57, move = 954, position = 11, zero_count = 1971
prev_position = 11, move = -3, position = 8, zero_count = 1971
prev_position = 8, move = 292, position = 0, zero_count = 1974
prev_position = 0, move = -63, position = -63, zero_count = 1974
prev_position = -63, move = -37, position = 0, zero_count = 1975
prev_position = 0, move = 32, position = 32, zero_count = 1975
prev_position = 32, move = 968, position = 0, zero_count = 1985
prev_position = 0, move = -487, position = -87, zero_count = 1989
prev_position = -87, move = -91, position = -78, zero_count = 1990
prev_position = -78, move = 144, position = 66, zero_count = 1991
prev_position = 66, move = -56, position = 10, zero_count = 1991
prev_position = 10, move = 91, position = 1, zero_count = 1992
prev_position = 1, move = 9, position = 10, zero_count = 1992
prev_position = 10, move = 34, position = 44, zero_count = 1992
prev_position = 44, move = -41, position = 3, zero_count = 1992
prev_position = 3, move = 97, position = 0, zero_count = 1993
prev_position = 0, move = 39, position = 39, zero_count = 1993
prev_position = 39, move = 361, position = 0, zero_count = 1997
prev_position = 0, move = -58, position = -58, zero_count = 1997
prev_position = -58, move = -264, position = -22, zero_count = 2000
prev_position = -22, move = 25, position = 3, zero_count = 2001
prev_position = 3, move = 87, position = 90, zero_count = 2001
prev_position = 90, move = -90, position = 0, zero_count = 2002
prev_position = 0, move = 8, position = 8, zero_count = 2002
prev_position = 8, move = -973, position = -65, zero_count = 2012
prev_position = -65, move = -35, position = 0, zero_count = 2013
prev_position = 0, move = 57, position = 57, zero_count = 2013
prev_position = 57, move = 60, position = 17, zero_count = 2014
prev_position = 17, move = 4, position = 21, zero_count = 2014
prev_position = 21, move = 64, position = 85, zero_count = 2014
prev_position = 85, move = -85, position = 0, zero_count = 2015
prev_position = 0, move = 39, position = 39, zero_count = 2015
prev_position = 39, move = -17, position = 22, zero_count = 2015
prev_position = 22, move = 478, position = 0, zero_count = 2020
prev_position = 0, move = -484, position = -84, zero_count = 2024
prev_position = -84, move = -21, position = -5, zero_count = 2025
prev_position = -5, move = 151, position = 46, zero_count = 2027
prev_position = 46, move = 80, position = 26, zero_count = 2028
prev_position = 26, move = -26, position = 0, zero_count = 2029
prev_position = 0, move = 10, position = 10, zero_count = 2029
prev_position = 10, move = -35, position = -25, zero_count = 2030
prev_position = -25, move = 41, position = 16, zero_count = 2031
prev_position = 16, move = 728, position = 44, zero_count = 2038
prev_position = 44, move = 71, position = 15, zero_count = 2039
prev_position = 15, move = -15, position = 0, zero_count = 2040
prev_position = 0, move = -91, position = -91, zero_count = 2040
prev_position = -91, move = -9, position = 0, zero_count = 2041
prev_position = 0, move = 78, position = 78, zero_count = 2041
prev_position = 78, move = 39, position = 17, zero_count = 2042
prev_position = 17, move = 31, position = 48, zero_count = 2042
prev_position = 48, move = 82, position = 30, zero_count = 2043
prev_position = 30, move = 70, position = 0, zero_count = 2044
prev_position = 0, move = -96, position = -96, zero_count = 2044
prev_position = -96, move = -4, position = 0, zero_count = 2045
prev_position = 0, move = 63, position = 63, zero_count = 2045
prev_position = 63, move = -63, position = 0, zero_count = 2046
prev_position = 0, move = 43, position = 43, zero_count = 2046
prev_position = 43, move = 57, position = 0, zero_count = 2047
prev_position = 0, move = 36, position = 36, zero_count = 2047
prev_position = 36, move = -24, position = 12, zero_count = 2047
prev_position = 12, move = 96, position = 8, zero_count = 2048
prev_position = 8, move = 52, position = 60, zero_count = 2048
prev_position = 60, move = 99, position = 59, zero_count = 2049
prev_position = 59, move = -59, position = 0, zero_count = 2050
prev_position = 0, move = 35, position = 35, zero_count = 2050
prev_position = 35, move = -87, position = -52, zero_count = 2051
prev_position = -52, move = 13, position = -39, zero_count = 2051
prev_position = -39, move = -80, position = -19, zero_count = 2052
prev_position = -19, move = -49, position = -68, zero_count = 2052
prev_position = -68, move = -432, position = 0, zero_count = 2057
prev_position = 0, move = 99, position = 99, zero_count = 2057
prev_position = 99, move = -430, position = -31, zero_count = 2061
prev_position = -31, move = 72, position = 41, zero_count = 2062
prev_position = 41, move = -41, position = 0, zero_count = 2063
prev_position = 0, move = -40, position = -40, zero_count = 2063
prev_position = -40, move = -72, position = -12, zero_count = 2064
prev_position = -12, move = 256, position = 44, zero_count = 2067
prev_position = 44, move = 920, position = 64, zero_count = 2076
prev_position = 64, move = 36, position = 0, zero_count = 2077
prev_position = 0, move = -99, position = -99, zero_count = 2077
prev_position = -99, move = -68, position = -67, zero_count = 2078
prev_position = -67, move = 67, position = 0, zero_count = 2079
prev_position = 0, move = -51, position = -51, zero_count = 2079
prev_position = -51, move = -73, position = -24, zero_count = 2080
prev_position = -24, move = 36, position = 12, zero_count = 2081
prev_position = 12, move = -12, position = 0, zero_count = 2082
prev_position = 0, move = -84, position = -84, zero_count = 2082
prev_position = -84, move = -16, position = 0, zero_count = 2083
prev_position = 0, move = 32, position = 32, zero_count = 2083
prev_position = 32, move = 43, position = 75, zero_count = 2083
prev_position = 75, move = -36, position = 39, zero_count = 2083
prev_position = 39, move = -77, position = -38, zero_count = 2084
prev_position = -38, move = 87, position = 49, zero_count = 2085
prev_position = 49, move = 851, position = 0, zero_count = 2094
prev_position = 0, move = 90, position = 90, zero_count = 2094
prev_position = 90, move = -4, position = 86, zero_count = 2094
prev_position = 86, move = 53, position = 39, zero_count = 2095
prev_position = 39, move = 76, position = 15, zero_count = 2096
prev_position = 15, move = 25, position = 40, zero_count = 2096
prev_position = 40, move = 60, position = 0, zero_count = 2097
prev_position = 0, move = -904, position = -4, zero_count = 2106
prev_position = -4, move = 11, position = 7, zero_count = 2107
prev_position = 7, move = 95, position = 2, zero_count = 2108
prev_position = 2, move = 68, position = 70, zero_count = 2108
prev_position = 70, move = 23, position = 93, zero_count = 2108
prev_position = 93, move = 407, position = 0, zero_count = 2113
prev_position = 0, move = -44, position = -44, zero_count = 2113
prev_position = -44, move = -56, position = 0, zero_count = 2114
prev_position = 0, move = -177, position = -77, zero_count = 2115
prev_position = -77, move = 87, position = 10, zero_count = 2116
prev_position = 10, move = 62, position = 72, zero_count = 2116
prev_position = 72, move = -91, position = -19, zero_count = 2117
prev_position = -19, move = 474, position = 55, zero_count = 2122
prev_position = 55, move = -74, position = -19, zero_count = 2123
prev_position = -19, move = -81, position = 0, zero_count = 2124
prev_position = 0, move = -876, position = -76, zero_count = 2132
prev_position = -76, move = -22, position = -98, zero_count = 2132
prev_position = -98, move = 36, position = -62, zero_count = 2132
prev_position = -62, move = -73, position = -35, zero_count = 2133
prev_position = -35, move = -74, position = -9, zero_count = 2134
prev_position = -9, move = 9, position = 0, zero_count = 2135
prev_position = 0, move = -58, position = -58, zero_count = 2135
prev_position = -58, move = -42, position = 0, zero_count = 2136
prev_position = 0, move = -984, position = -84, zero_count = 2145
prev_position = -84, move = -16, position = 0, zero_count = 2146
prev_position = 0, move = -42, position = -42, zero_count = 2146
prev_position = -42, move = 56, position = 14, zero_count = 2147
prev_position = 14, move = -14, position = 0, zero_count = 2148
prev_position = 0, move = 64, position = 64, zero_count = 2148
prev_position = 64, move = -64, position = 0, zero_count = 2149
prev_position = 0, move = -96, position = -96, zero_count = 2149
prev_position = -96, move = -657, position = -53, zero_count = 2156
prev_position = -53, move = 76, position = 23, zero_count = 2157
prev_position = 23, move = 77, position = 0, zero_count = 2158
prev_position = 0, move = -20, position = -20, zero_count = 2158
prev_position = -20, move = -898, position = -18, zero_count = 2167
prev_position = -18, move = 18, position = 0, zero_count = 2168
prev_position = 0, move = -96, position = -96, zero_count = 2168
prev_position = -96, move = 96, position = 0, zero_count = 2169
prev_position = 0, move = -688, position = -88, zero_count = 2175
prev_position = -88, move = 75, position = -13, zero_count = 2175
prev_position = -13, move = -93, position = -6, zero_count = 2176
prev_position = -6, move = -69, position = -75, zero_count = 2176
prev_position = -75, move = -27, position = -2, zero_count = 2177
prev_position = -2, move = 68, position = 66, zero_count = 2178
prev_position = 66, move = -447, position = -81, zero_count = 2182
prev_position = -81, move = -19, position = 0, zero_count = 2183
prev_position = 0, move = 637, position = 37, zero_count = 2189
prev_position = 37, move = -57, position = -20, zero_count = 2190
prev_position = -20, move = -37, position = -57, zero_count = 2190
prev_position = -57, move = 57, position = 0, zero_count = 2191
prev_position = 0, move = 8, position = 8, zero_count = 2191
prev_position = 8, move = -302, position = -94, zero_count = 2194
prev_position = -94, move = -23, position = -17, zero_count = 2195
prev_position = -17, move = 562, position = 45, zero_count = 2201
prev_position = 45, move = -45, position = 0, zero_count = 2202
prev_position = 0, move = 62, position = 62, zero_count = 2202
prev_position = 62, move = -94, position = -32, zero_count = 2203
prev_position = -32, move = -68, position = 0, zero_count = 2204
prev_position = 0, move = 61, position = 61, zero_count = 2204
prev_position = 61, move = 181, position = 42, zero_count = 2206
prev_position = 42, move = -58, position = -16, zero_count = 2207
prev_position = -16, move = 77, position = 61, zero_count = 2208
prev_position = 61, move = 1, position = 62, zero_count = 2208
prev_position = 62, move = 2, position = 64, zero_count = 2208
prev_position = 64, move = 11, position = 75, zero_count = 2208
prev_position = 75, move = 69, position = 44, zero_count = 2209
prev_position = 44, move = -57, position = -13, zero_count = 2210
prev_position = -13, move = -77, position = -90, zero_count = 2210
prev_position = -90, move = -10, position = 0, zero_count = 2211
prev_position = 0, move = -37, position = -37, zero_count = 2211
prev_position = -37, move = -62, position = -99, zero_count = 2211
prev_position = -99, move = -25, position = -24, zero_count = 2212
prev_position = -24, move = 21, position = -3, zero_count = 2212
prev_position = -3, move = 3, position = 0, zero_count = 2213
prev_position = 0, move = 51, position = 51, zero_count = 2213
prev_position = 51, move = -2, position = 49, zero_count = 2213
prev_position = 49, move = 51, position = 0, zero_count = 2214
prev_position = 0, move = 9, position = 9, zero_count = 2214
prev_position = 9, move = 91, position = 0, zero_count = 2215
prev_position = 0, move = 42, position = 42, zero_count = 2215
prev_position = 42, move = 56, position = 98, zero_count = 2215
prev_position = 98, move = 56, position = 54, zero_count = 2216
prev_position = 54, move = -63, position = -9, zero_count = 2217
prev_position = -9, move = 99, position = 90, zero_count = 2218
prev_position = 90, move = 92, position = 82, zero_count = 2219
prev_position = 82, move = 464, position = 46, zero_count = 2224
prev_position = 46, move = -60, position = -14, zero_count = 2225
prev_position = -14, move = -137, position = -51, zero_count = 2226
prev_position = -51, move = -62, position = -13, zero_count = 2227
prev_position = -13, move = -87, position = 0, zero_count = 2228
prev_position = 0, move = 638, position = 38, zero_count = 2234
prev_position = 38, move = -38, position = 0, zero_count = 2235
prev_position = 0, move = -92, position = -92, zero_count = 2235
prev_position = -92, move = 45, position = -47, zero_count = 2235
prev_position = -47, move = -53, position = 0, zero_count = 2236
prev_position = 0, move = 8, position = 8, zero_count = 2236
prev_position = 8, move = -8, position = 0, zero_count = 2237
prev_position = 0, move = 52, position = 52, zero_count = 2237
prev_position = 52, move = -601, position = -49, zero_count = 2243
prev_position = -49, move = 686, position = 37, zero_count = 2250
prev_position = 37, move = 3, position = 40, zero_count = 2250
prev_position = 40, move = -40, position = 0, zero_count = 2251
prev_position = 0, move = 85, position = 85, zero_count = 2251
prev_position = 85, move = 26, position = 11, zero_count = 2252
